OrderID,RejectionReason
ORDER_7863,REJECTED - POSITION CHECK FAILED
ORDER_8433,REJECTED - POSITION CHECK FAILED
ORDER_93,REJECTED - POSITION CHECK FAILED
ORDER_9433,REJECTED - POSITION CHECK FAILED
ORDER_1434,REJECTED - POSITION CHECK FAILED
ORDER_1864,REJECTED - POSITION CHECK FAILED
ORDER_2864,REJECTED - POSITION CHECK FAILED
ORDER_4864,REJECTED - POSITION CHECK FAILED
ORDER_5434,REJECTED - POSITION CHECK FAILED
ORDER_5864,REJECTED - POSITION CHECK FAILED
ORDER_6434,REJECTED - POSITION CHECK FAILED
ORDER_7864,REJECTED - POSITION CHECK FAILED
ORDER_8434,REJECTED - POSITION CHECK FAILED
ORDER_9864,REJECTED - POSITION CHECK FAILED
ORDER_10434,REJECTED - POSITION CHECK FAILED
ORDER_1435,REJECTED - POSITION CHECK FAILED
ORDER_2435,REJECTED - POSITION CHECK FAILED
ORDER_2865,REJECTED - POSITION CHECK FAILED
ORDER_3435,REJECTED - POSITION CHECK FAILED
ORDER_4435,REJECTED - POSITION CHECK FAILED
ORDER_4865,REJECTED - POSITION CHECK FAILED
ORDER_5435,REJECTED - POSITION CHECK FAILED
ORDER_6435,REJECTED - POSITION CHECK FAILED
ORDER_7435,REJECTED - POSITION CHECK FAILED
ORDER_7865,REJECTED - POSITION CHECK FAILED
ORDER_8435,REJECTED - POSITION CHECK FAILED
ORDER_8865,REJECTED - POSITION CHECK FAILED
ORDER_9865,REJECTED - POSITION CHECK FAILED
ORDER_10435,REJECTED - POSITION CHECK FAILED
ORDER_10865,REJECTED - POSITION CHECK FAILED
ORDER_1436,REJECTED - POSITION CHECK FAILED
ORDER_1866,REJECTED - POSITION CHECK FAILED
ORDER_26,REJECTED - POSITION CHECK FAILED
ORDER_2866,REJECTED - POSITION CHECK FAILED
ORDER_46,REJECTED - POSITION CHECK FAILED
ORDER_5436,REJECTED - POSITION CHECK FAILED
ORDER_66,REJECTED - POSITION CHECK FAILED
ORDER_6436,REJECTED - POSITION CHECK FAILED
ORDER_6866,REJECTED - POSITION CHECK FAILED
ORDER_7866,REJECTED - POSITION CHECK FAILED
ORDER_9436,REJECTED - POSITION CHECK FAILED
ORDER_1437,REJECTED - POSITION CHECK FAILED
ORDER_27,REJECTED - POSITION CHECK FAILED
ORDER_2437,REJECTED - POSITION CHECK FAILED
ORDER_3867,REJECTED - POSITION CHECK FAILED
ORDER_4867,REJECTED - POSITION CHECK FAILED
ORDER_7437,REJECTED - POSITION CHECK FAILED
ORDER_8867,REJECTED - POSITION CHECK FAILED
ORDER_1438,REJECTED - POSITION CHECK FAILED
ORDER_2868,REJECTED - POSITION CHECK FAILED
ORDER_38,REJECTED - POSITION CHECK FAILED
ORDER_3868,REJECTED - POSITION CHECK FAILED
ORDER_48,REJECTED - POSITION CHECK FAILED
ORDER_5438,REJECTED - POSITION CHECK FAILED
ORDER_5868,REJECTED - POSITION CHECK FAILED
ORDER_6438,REJECTED - POSITION CHECK FAILED
ORDER_6868,REJECTED - POSITION CHECK FAILED
ORDER_7868,REJECTED - POSITION CHECK FAILED
ORDER_98,REJECTED - POSITION CHECK FAILED
ORDER_108,REJECTED - POSITION CHECK FAILED
ORDER_10868,REJECTED - POSITION CHECK FAILED
ORDER_1439,REJECTED - POSITION CHECK FAILED
ORDER_1869,REJECTED - POSITION CHECK FAILED
ORDER_2869,REJECTED - POSITION CHECK FAILED
ORDER_4869,REJECTED - POSITION CHECK FAILED
ORDER_5439,REJECTED - POSITION CHECK FAILED
ORDER_5869,REJECTED - POSITION CHECK FAILED
ORDER_6439,REJECTED - POSITION CHECK FAILED
ORDER_79,REJECTED - POSITION CHECK FAILED
ORDER_9439,REJECTED - POSITION CHECK FAILED
ORDER_10869,REJECTED - POSITION CHECK FAILED
ORDER_1870,REJECTED - POSITION CHECK FAILED
ORDER_2440,REJECTED - POSITION CHECK FAILED
ORDER_2870,REJECTED - POSITION CHECK FAILED
ORDER_3440,REJECTED - POSITION CHECK FAILED
ORDER_3870,REJECTED - POSITION CHECK FAILED
ORDER_4870,REJECTED - POSITION CHECK FAILED
ORDER_5440,REJECTED - POSITION CHECK FAILED
ORDER_5870,REJECTED - POSITION CHECK FAILED
ORDER_6440,REJECTED - POSITION CHECK FAILED
ORDER_6870,REJECTED - POSITION CHECK FAILED
ORDER_8440,REJECTED - POSITION CHECK FAILED
ORDER_8870,REJECTED - POSITION CHECK FAILED
ORDER_9870,REJECTED - POSITION CHECK FAILED
ORDER_1010,REJECTED - POSITION CHECK FAILED
ORDER_10440,REJECTED - POSITION CHECK FAILED
ORDER_10870,REJECTED - POSITION CHECK FAILED
ORDER_1871,REJECTED - POSITION CHECK FAILED
ORDER_211,REJECTED - POSITION CHECK FAILED
ORDER_3871,REJECTED - POSITION CHECK FAILED
ORDER_411,REJECTED - POSITION CHECK FAILED
ORDER_4441,REJECTED - POSITION CHECK FAILED
ORDER_5871,REJECTED - POSITION CHECK FAILED
ORDER_6441,REJECTED - POSITION CHECK FAILED
ORDER_6871,REJECTED - POSITION CHECK FAILED
ORDER_711,REJECTED - POSITION CHECK FAILED
ORDER_811,REJECTED - POSITION CHECK FAILED
ORDER_8441,REJECTED - POSITION CHECK FAILED
ORDER_9871,REJECTED - POSITION CHECK FAILED
ORDER_10871,REJECTED - POSITION CHECK FAILED
ORDER_1442,REJECTED - POSITION CHECK FAILED
ORDER_212,REJECTED - POSITION CHECK FAILED
ORDER_2442,REJECTED - POSITION CHECK FAILED
ORDER_312,REJECTED - POSITION CHECK FAILED
ORDER_412,REJECTED - POSITION CHECK FAILED
ORDER_4442,REJECTED - POSITION CHECK FAILED
ORDER_512,REJECTED - POSITION CHECK FAILED
ORDER_5442,REJECTED - POSITION CHECK FAILED
ORDER_5872,REJECTED - POSITION CHECK FAILED
ORDER_6872,REJECTED - POSITION CHECK FAILED
ORDER_712,REJECTED - POSITION CHECK FAILED
ORDER_7872,REJECTED - POSITION CHECK FAILED
ORDER_8442,REJECTED - POSITION CHECK FAILED
ORDER_9442,REJECTED - POSITION CHECK FAILED
ORDER_1012,REJECTED - POSITION CHECK FAILED
ORDER_1443,REJECTED - POSITION CHECK FAILED
ORDER_3873,REJECTED - POSITION CHECK FAILED
ORDER_413,REJECTED - POSITION CHECK FAILED
ORDER_4873,REJECTED - POSITION CHECK FAILED
ORDER_7443,REJECTED - POSITION CHECK FAILED
ORDER_9443,REJECTED - POSITION CHECK FAILED
ORDER_1013,REJECTED - POSITION CHECK FAILED
ORDER_114,REJECTED - POSITION CHECK FAILED
ORDER_1444,REJECTED - POSITION CHECK FAILED
ORDER_2444,REJECTED - POSITION CHECK FAILED
ORDER_314,REJECTED - POSITION CHECK FAILED
ORDER_7874,REJECTED - POSITION CHECK FAILED
ORDER_914,REJECTED - POSITION CHECK FAILED
ORDER_1014,REJECTED - POSITION CHECK FAILED
ORDER_115,REJECTED - POSITION CHECK FAILED
ORDER_1875,REJECTED - INVLALID LOT SIZE
ORDER_215,REJECTED - POSITION CHECK FAILED
ORDER_2875,REJECTED - INVLALID LOT SIZE
ORDER_315,REJECTED - POSITION CHECK FAILED
ORDER_3875,REJECTED - INVLALID LOT SIZE
ORDER_415,REJECTED - POSITION CHECK FAILED
ORDER_4445,REJECTED - POSITION CHECK FAILED
ORDER_4875,REJECTED - INVLALID LOT SIZE
ORDER_515,REJECTED - POSITION CHECK FAILED
ORDER_5875,REJECTED - INVLALID LOT SIZE
ORDER_615,REJECTED - POSITION CHECK FAILED
ORDER_6875,REJECTED - INVLALID LOT SIZE
ORDER_715,REJECTED - POSITION CHECK FAILED
ORDER_7875,REJECTED - INVLALID LOT SIZE
ORDER_815,REJECTED - POSITION CHECK FAILED
ORDER_8875,REJECTED - INVLALID LOT SIZE
ORDER_9445,REJECTED - POSITION CHECK FAILED
ORDER_9875,REJECTED - INVLALID LOT SIZE
ORDER_1015,REJECTED - POSITION CHECK FAILED
ORDER_10875,REJECTED - INVLALID LOT SIZE
ORDER_2876,REJECTED - POSITION CHECK FAILED
ORDER_3446,REJECTED - POSITION CHECK FAILED
ORDER_4876,REJECTED - POSITION CHECK FAILED
ORDER_516,REJECTED - POSITION CHECK FAILED
ORDER_5876,REJECTED - POSITION CHECK FAILED
ORDER_6876,REJECTED - POSITION CHECK FAILED
ORDER_7876,REJECTED - POSITION CHECK FAILED
ORDER_8446,REJECTED - POSITION CHECK FAILED
ORDER_10446,REJECTED - POSITION CHECK FAILED
ORDER_2877,REJECTED - POSITION CHECK FAILED
ORDER_3447,REJECTED - POSITION CHECK FAILED
ORDER_4877,REJECTED - POSITION CHECK FAILED
ORDER_517,REJECTED - POSITION CHECK FAILED
ORDER_617,REJECTED - POSITION CHECK FAILED
ORDER_717,REJECTED - POSITION CHECK FAILED
ORDER_7447,REJECTED - POSITION CHECK FAILED
ORDER_917,REJECTED - POSITION CHECK FAILED
ORDER_9447,REJECTED - POSITION CHECK FAILED
ORDER_1017,REJECTED - POSITION CHECK FAILED
ORDER_218,REJECTED - POSITION CHECK FAILED
ORDER_2878,REJECTED - POSITION CHECK FAILED
ORDER_318,REJECTED - POSITION CHECK FAILED
ORDER_4878,REJECTED - POSITION CHECK FAILED
ORDER_518,REJECTED - POSITION CHECK FAILED
ORDER_618,REJECTED - POSITION CHECK FAILED
ORDER_6448,REJECTED - POSITION CHECK FAILED
ORDER_6878,REJECTED - POSITION CHECK FAILED
ORDER_8878,REJECTED - POSITION CHECK FAILED
ORDER_10878,REJECTED - POSITION CHECK FAILED
ORDER_119,REJECTED - POSITION CHECK FAILED
ORDER_219,REJECTED - POSITION CHECK FAILED
ORDER_2449,REJECTED - POSITION CHECK FAILED
ORDER_319,REJECTED - POSITION CHECK FAILED
ORDER_3879,REJECTED - POSITION CHECK FAILED
ORDER_519,REJECTED - POSITION CHECK FAILED
ORDER_5879,REJECTED - POSITION CHECK FAILED
ORDER_619,REJECTED - POSITION CHECK FAILED
ORDER_7449,REJECTED - POSITION CHECK FAILED
ORDER_8879,REJECTED - POSITION CHECK FAILED
ORDER_10449,REJECTED - POSITION CHECK FAILED
ORDER_10879,REJECTED - POSITION CHECK FAILED
ORDER_120,REJECTED - POSITION CHECK FAILED
ORDER_1450,REJECTED - INVLALID LOT SIZE
ORDER_1880,REJECTED - POSITION CHECK FAILED
ORDER_2450,REJECTED - INVLALID LOT SIZE
ORDER_3450,REJECTED - INVLALID LOT SIZE
ORDER_3880,REJECTED - POSITION CHECK FAILED
ORDER_4450,REJECTED - INVLALID LOT SIZE
ORDER_4880,REJECTED - POSITION CHECK FAILED
ORDER_5450,REJECTED - INVLALID LOT SIZE
ORDER_6450,REJECTED - INVLALID LOT SIZE
ORDER_6880,REJECTED - POSITION CHECK FAILED
ORDER_7450,REJECTED - INVLALID LOT SIZE
ORDER_7880,REJECTED - POSITION CHECK FAILED
ORDER_8450,REJECTED - INVLALID LOT SIZE
ORDER_9450,REJECTED - INVLALID LOT SIZE
ORDER_10450,REJECTED - INVLALID LOT SIZE
ORDER_10880,REJECTED - POSITION CHECK FAILED
ORDER_121,REJECTED - POSITION CHECK FAILED
ORDER_1451,REJECTED - POSITION CHECK FAILED
ORDER_2451,REJECTED - POSITION CHECK FAILED
ORDER_3451,REJECTED - POSITION CHECK FAILED
ORDER_4881,REJECTED - POSITION CHECK FAILED
ORDER_521,REJECTED - POSITION CHECK FAILED
ORDER_7881,REJECTED - POSITION CHECK FAILED
ORDER_8451,REJECTED - POSITION CHECK FAILED
ORDER_1021,REJECTED - POSITION CHECK FAILED
ORDER_1452,REJECTED - POSITION CHECK FAILED
ORDER_7452,REJECTED - POSITION CHECK FAILED
ORDER_822,REJECTED - POSITION CHECK FAILED
ORDER_922,REJECTED - POSITION CHECK FAILED
ORDER_10452,REJECTED - POSITION CHECK FAILED
ORDER_2453,REJECTED - POSITION CHECK FAILED
ORDER_3453,REJECTED - POSITION CHECK FAILED
ORDER_423,REJECTED - POSITION CHECK FAILED
ORDER_4453,REJECTED - POSITION CHECK FAILED
ORDER_4883,REJECTED - POSITION CHECK FAILED
ORDER_5453,REJECTED - POSITION CHECK FAILED
ORDER_6883,REJECTED - POSITION CHECK FAILED
ORDER_723,REJECTED - POSITION CHECK FAILED
ORDER_823,REJECTED - POSITION CHECK FAILED
ORDER_923,REJECTED - POSITION CHECK FAILED
ORDER_10883,REJECTED - POSITION CHECK FAILED
ORDER_2454,REJECTED - POSITION CHECK FAILED
ORDER_2884,REJECTED - POSITION CHECK FAILED
ORDER_4884,REJECTED - POSITION CHECK FAILED
ORDER_5884,REJECTED - POSITION CHECK FAILED
ORDER_6884,REJECTED - POSITION CHECK FAILED
ORDER_724,REJECTED - POSITION CHECK FAILED
ORDER_824,REJECTED - POSITION CHECK FAILED
ORDER_8884,REJECTED - POSITION CHECK FAILED
ORDER_924,REJECTED - POSITION CHECK FAILED
ORDER_9454,REJECTED - POSITION CHECK FAILED
ORDER_9884,REJECTED - POSITION CHECK FAILED
ORDER_1024,REJECTED - POSITION CHECK FAILED
ORDER_125,REJECTED - INVLALID LOT SIZE
ORDER_225,REJECTED - INVLALID LOT SIZE
ORDER_2885,REJECTED - POSITION CHECK FAILED
ORDER_325,REJECTED - INVLALID LOT SIZE
ORDER_3885,REJECTED - POSITION CHECK FAILED
ORDER_425,REJECTED - INVLALID LOT SIZE
ORDER_4885,REJECTED - POSITION CHECK FAILED
ORDER_525,REJECTED - INVLALID LOT SIZE
ORDER_5885,REJECTED - POSITION CHECK FAILED
ORDER_625,REJECTED - INVLALID LOT SIZE
ORDER_6885,REJECTED - POSITION CHECK FAILED
ORDER_725,REJECTED - INVLALID LOT SIZE
ORDER_825,REJECTED - INVLALID LOT SIZE
ORDER_8885,REJECTED - POSITION CHECK FAILED
ORDER_925,REJECTED - INVLALID LOT SIZE
ORDER_1025,REJECTED - INVLALID LOT SIZE
ORDER_10885,REJECTED - POSITION CHECK FAILED
ORDER_126,REJECTED - POSITION CHECK FAILED
ORDER_2456,REJECTED - POSITION CHECK FAILED
ORDER_2886,REJECTED - POSITION CHECK FAILED
ORDER_3456,REJECTED - POSITION CHECK FAILED
ORDER_4456,REJECTED - POSITION CHECK FAILED
ORDER_4886,REJECTED - POSITION CHECK FAILED
ORDER_5886,REJECTED - POSITION CHECK FAILED
ORDER_626,REJECTED - POSITION CHECK FAILED
ORDER_726,REJECTED - POSITION CHECK FAILED
ORDER_7456,REJECTED - POSITION CHECK FAILED
ORDER_7886,REJECTED - POSITION CHECK FAILED
ORDER_8456,REJECTED - POSITION CHECK FAILED
ORDER_8886,REJECTED - POSITION CHECK FAILED
ORDER_9456,REJECTED - POSITION CHECK FAILED
ORDER_9886,REJECTED - POSITION CHECK FAILED
ORDER_1026,REJECTED - POSITION CHECK FAILED
ORDER_10456,REJECTED - POSITION CHECK FAILED
ORDER_3457,REJECTED - POSITION CHECK FAILED
ORDER_3887,REJECTED - POSITION CHECK FAILED
ORDER_527,REJECTED - POSITION CHECK FAILED
ORDER_5887,REJECTED - POSITION CHECK FAILED
ORDER_7457,REJECTED - POSITION CHECK FAILED
ORDER_7887,REJECTED - POSITION CHECK FAILED
ORDER_827,REJECTED - POSITION CHECK FAILED
ORDER_10457,REJECTED - POSITION CHECK FAILED
ORDER_10887,REJECTED - POSITION CHECK FAILED
ORDER_628,REJECTED - POSITION CHECK FAILED
ORDER_6888,REJECTED - POSITION CHECK FAILED
ORDER_7888,REJECTED - POSITION CHECK FAILED
ORDER_828,REJECTED - POSITION CHECK FAILED
ORDER_928,REJECTED - POSITION CHECK FAILED
ORDER_9888,REJECTED - POSITION CHECK FAILED
ORDER_1028,REJECTED - POSITION CHECK FAILED
ORDER_10458,REJECTED - POSITION CHECK FAILED
ORDER_1459,REJECTED - POSITION CHECK FAILED
ORDER_229,REJECTED - POSITION CHECK FAILED
ORDER_2889,REJECTED - POSITION CHECK FAILED
ORDER_329,REJECTED - POSITION CHECK FAILED
ORDER_4459,REJECTED - POSITION CHECK FAILED
ORDER_629,REJECTED - POSITION CHECK FAILED
ORDER_829,REJECTED - POSITION CHECK FAILED
ORDER_8459,REJECTED - POSITION CHECK FAILED
ORDER_1029,REJECTED - POSITION CHECK FAILED
ORDER_10459,REJECTED - POSITION CHECK FAILED
ORDER_130,REJECTED - POSITION CHECK FAILED
ORDER_230,REJECTED - POSITION CHECK FAILED
ORDER_2890,REJECTED - POSITION CHECK FAILED
ORDER_330,REJECTED - POSITION CHECK FAILED
ORDER_3460,REJECTED - POSITION CHECK FAILED
ORDER_430,REJECTED - POSITION CHECK FAILED
ORDER_530,REJECTED - POSITION CHECK FAILED
ORDER_5460,REJECTED - POSITION CHECK FAILED
ORDER_630,REJECTED - POSITION CHECK FAILED
ORDER_7460,REJECTED - POSITION CHECK FAILED
ORDER_7890,REJECTED - POSITION CHECK FAILED
ORDER_830,REJECTED - POSITION CHECK FAILED
ORDER_930,REJECTED - POSITION CHECK FAILED
ORDER_9890,REJECTED - POSITION CHECK FAILED
ORDER_1030,REJECTED - POSITION CHECK FAILED
ORDER_10460,REJECTED - POSITION CHECK FAILED
ORDER_10890,REJECTED - POSITION CHECK FAILED
ORDER_1461,REJECTED - POSITION CHECK FAILED
ORDER_1891,REJECTED - POSITION CHECK FAILED
ORDER_2891,REJECTED - POSITION CHECK FAILED
ORDER_3461,REJECTED - POSITION CHECK FAILED
ORDER_3891,REJECTED - POSITION CHECK FAILED
ORDER_431,REJECTED - POSITION CHECK FAILED
ORDER_4461,REJECTED - POSITION CHECK FAILED
ORDER_5461,REJECTED - POSITION CHECK FAILED
ORDER_631,REJECTED - POSITION CHECK FAILED
ORDER_6891,REJECTED - POSITION CHECK FAILED
ORDER_7461,REJECTED - POSITION CHECK FAILED
ORDER_8891,REJECTED - POSITION CHECK FAILED
ORDER_9891,REJECTED - POSITION CHECK FAILED
ORDER_10891,REJECTED - POSITION CHECK FAILED
ORDER_132,REJECTED - POSITION CHECK FAILED
ORDER_1462,REJECTED - POSITION CHECK FAILED
ORDER_1892,REJECTED - POSITION CHECK FAILED
ORDER_232,REJECTED - POSITION CHECK FAILED
ORDER_2892,REJECTED - POSITION CHECK FAILED
ORDER_432,REJECTED - POSITION CHECK FAILED
ORDER_5892,REJECTED - POSITION CHECK FAILED
ORDER_6462,REJECTED - POSITION CHECK FAILED
ORDER_6892,REJECTED - POSITION CHECK FAILED
ORDER_732,REJECTED - POSITION CHECK FAILED
ORDER_8462,REJECTED - POSITION CHECK FAILED
ORDER_9462,REJECTED - POSITION CHECK FAILED
ORDER_9892,REJECTED - POSITION CHECK FAILED
ORDER_233,REJECTED - POSITION CHECK FAILED
ORDER_2463,REJECTED - POSITION CHECK FAILED
ORDER_333,REJECTED - POSITION CHECK FAILED
ORDER_3463,REJECTED - POSITION CHECK FAILED
ORDER_433,REJECTED - POSITION CHECK FAILED
ORDER_633,REJECTED - POSITION CHECK FAILED
ORDER_6463,REJECTED - POSITION CHECK FAILED
ORDER_733,REJECTED - POSITION CHECK FAILED
ORDER_8893,REJECTED - POSITION CHECK FAILED
ORDER_933,REJECTED - POSITION CHECK FAILED
ORDER_10463,REJECTED - POSITION CHECK FAILED
ORDER_1464,REJECTED - POSITION CHECK FAILED
ORDER_1894,REJECTED - POSITION CHECK FAILED
ORDER_234,REJECTED - POSITION CHECK FAILED
ORDER_334,REJECTED - POSITION CHECK FAILED
ORDER_3894,REJECTED - POSITION CHECK FAILED
ORDER_4464,REJECTED - POSITION CHECK FAILED
ORDER_534,REJECTED - POSITION CHECK FAILED
ORDER_5464,REJECTED - POSITION CHECK FAILED
ORDER_6894,REJECTED - POSITION CHECK FAILED
ORDER_734,REJECTED - POSITION CHECK FAILED
ORDER_7894,REJECTED - POSITION CHECK FAILED
ORDER_834,REJECTED - POSITION CHECK FAILED
ORDER_9464,REJECTED - POSITION CHECK FAILED
ORDER_9894,REJECTED - POSITION CHECK FAILED
ORDER_10464,REJECTED - POSITION CHECK FAILED
ORDER_10894,REJECTED - POSITION CHECK FAILED
ORDER_1465,REJECTED - POSITION CHECK FAILED
ORDER_2465,REJECTED - POSITION CHECK FAILED
ORDER_3465,REJECTED - POSITION CHECK FAILED
ORDER_4895,REJECTED - POSITION CHECK FAILED
ORDER_6465,REJECTED - POSITION CHECK FAILED
ORDER_6895,REJECTED - POSITION CHECK FAILED
ORDER_7465,REJECTED - POSITION CHECK FAILED
ORDER_7895,REJECTED - POSITION CHECK FAILED
ORDER_8465,REJECTED - POSITION CHECK FAILED
ORDER_10465,REJECTED - POSITION CHECK FAILED
ORDER_10895,REJECTED - POSITION CHECK FAILED
ORDER_1896,REJECTED - POSITION CHECK FAILED
ORDER_2466,REJECTED - POSITION CHECK FAILED
ORDER_3896,REJECTED - POSITION CHECK FAILED
ORDER_4466,REJECTED - POSITION CHECK FAILED
ORDER_536,REJECTED - POSITION CHECK FAILED
ORDER_5896,REJECTED - POSITION CHECK FAILED
ORDER_6466,REJECTED - POSITION CHECK FAILED
ORDER_7466,REJECTED - POSITION CHECK FAILED
ORDER_8896,REJECTED - POSITION CHECK FAILED
ORDER_9466,REJECTED - POSITION CHECK FAILED
ORDER_10896,REJECTED - POSITION CHECK FAILED
ORDER_337,REJECTED - POSITION CHECK FAILED
ORDER_3897,REJECTED - POSITION CHECK FAILED
ORDER_437,REJECTED - POSITION CHECK FAILED
ORDER_4467,REJECTED - POSITION CHECK FAILED
ORDER_4897,REJECTED - POSITION CHECK FAILED
ORDER_5897,REJECTED - POSITION CHECK FAILED
ORDER_637,REJECTED - POSITION CHECK FAILED
ORDER_6897,REJECTED - POSITION CHECK FAILED
ORDER_7467,REJECTED - POSITION CHECK FAILED
ORDER_837,REJECTED - POSITION CHECK FAILED
ORDER_8897,REJECTED - POSITION CHECK FAILED
ORDER_9467,REJECTED - POSITION CHECK FAILED
ORDER_1898,REJECTED - POSITION CHECK FAILED
ORDER_338,REJECTED - POSITION CHECK FAILED
ORDER_3468,REJECTED - POSITION CHECK FAILED
ORDER_438,REJECTED - POSITION CHECK FAILED
ORDER_4468,REJECTED - POSITION CHECK FAILED
ORDER_638,REJECTED - POSITION CHECK FAILED
ORDER_6898,REJECTED - POSITION CHECK FAILED
ORDER_7468,REJECTED - POSITION CHECK FAILED
ORDER_838,REJECTED - POSITION CHECK FAILED
ORDER_9468,REJECTED - POSITION CHECK FAILED
ORDER_139,REJECTED - POSITION CHECK FAILED
ORDER_1469,REJECTED - POSITION CHECK FAILED
ORDER_1899,REJECTED - POSITION CHECK FAILED
ORDER_3899,REJECTED - POSITION CHECK FAILED
ORDER_439,REJECTED - POSITION CHECK FAILED
ORDER_4899,REJECTED - POSITION CHECK FAILED
ORDER_6899,REJECTED - POSITION CHECK FAILED
ORDER_739,REJECTED - POSITION CHECK FAILED
ORDER_7469,REJECTED - POSITION CHECK FAILED
ORDER_8469,REJECTED - POSITION CHECK FAILED
ORDER_9469,REJECTED - POSITION CHECK FAILED
ORDER_9899,REJECTED - POSITION CHECK FAILED
ORDER_1039,REJECTED - POSITION CHECK FAILED
ORDER_10899,REJECTED - POSITION CHECK FAILED
ORDER_1900,REJECTED - INVLALID LOT SIZE
ORDER_2900,REJECTED - INVLALID LOT SIZE
ORDER_3900,REJECTED - INVLALID LOT SIZE
ORDER_4470,REJECTED - POSITION CHECK FAILED
ORDER_4900,REJECTED - INVLALID LOT SIZE
ORDER_5470,REJECTED - POSITION CHECK FAILED
ORDER_5900,REJECTED - INVLALID LOT SIZE
ORDER_6900,REJECTED - INVLALID LOT SIZE
ORDER_7900,REJECTED - INVLALID LOT SIZE
ORDER_8900,REJECTED - INVLALID LOT SIZE
ORDER_9900,REJECTED - INVLALID LOT SIZE
ORDER_10470,REJECTED - POSITION CHECK FAILED
ORDER_10900,REJECTED - INVLALID LOT SIZE
ORDER_141,REJECTED - POSITION CHECK FAILED
ORDER_2901,REJECTED - POSITION CHECK FAILED
ORDER_3471,REJECTED - POSITION CHECK FAILED
ORDER_3901,REJECTED - POSITION CHECK FAILED
ORDER_4471,REJECTED - POSITION CHECK FAILED
ORDER_4901,REJECTED - POSITION CHECK FAILED
ORDER_5901,REJECTED - POSITION CHECK FAILED
ORDER_641,REJECTED - POSITION CHECK FAILED
ORDER_6471,REJECTED - POSITION CHECK FAILED
ORDER_741,REJECTED - POSITION CHECK FAILED
ORDER_8901,REJECTED - POSITION CHECK FAILED
ORDER_242,REJECTED - POSITION CHECK FAILED
ORDER_2472,REJECTED - POSITION CHECK FAILED
ORDER_2902,REJECTED - POSITION CHECK FAILED
ORDER_342,REJECTED - POSITION CHECK FAILED
ORDER_3472,REJECTED - POSITION CHECK FAILED
ORDER_3902,REJECTED - POSITION CHECK FAILED
ORDER_4472,REJECTED - POSITION CHECK FAILED
ORDER_642,REJECTED - POSITION CHECK FAILED
ORDER_6472,REJECTED - POSITION CHECK FAILED
ORDER_6902,REJECTED - POSITION CHECK FAILED
ORDER_7472,REJECTED - POSITION CHECK FAILED
ORDER_8472,REJECTED - POSITION CHECK FAILED
ORDER_10472,REJECTED - POSITION CHECK FAILED
ORDER_143,REJECTED - POSITION CHECK FAILED
ORDER_1903,REJECTED - POSITION CHECK FAILED
ORDER_243,REJECTED - POSITION CHECK FAILED
ORDER_4903,REJECTED - POSITION CHECK FAILED
ORDER_543,REJECTED - POSITION CHECK FAILED
ORDER_743,REJECTED - POSITION CHECK FAILED
ORDER_7473,REJECTED - POSITION CHECK FAILED
ORDER_7903,REJECTED - POSITION CHECK FAILED
ORDER_8903,REJECTED - POSITION CHECK FAILED
ORDER_10473,REJECTED - POSITION CHECK FAILED
